Institution Name, Operating Expenses per Team/Men's Team , Revenues Men's Team , Expenses Men's Team , Net Income 
University of Louisville," $3,919,664 "," $42,759,248 "," $19,180,078 "," $23,579,170 "
Syracuse University," $1,999,387 "," $34,567,071 "," $14,845,555 "," $19,721,516 "
University of Kentucky," $3,318,399 "," $38,829,651 "," $20,202,558 "," $18,627,093 "
University of North Carolina at Chapel Hill," $3,616,994 "," $27,076,307 "," $11,204,115 "," $15,872,192 "
Ohio State University-Main Campus," $2,578,786 "," $24,953,122 "," $10,996,364 "," $13,956,758 "
Indiana University-Bloomington," $2,647,513 "," $27,008,415 "," $13,230,211 "," $13,778,204 "
Duke University," $4,159,957 "," $35,489,891 "," $22,178,473 "," $13,311,418 "
University of Wisconsin-Madison," $1,761,883 "," $21,701,868 "," $8,548,485 "," $13,153,383 "
University of Arizona," $3,419,410 "," $22,437,254 "," $10,383,630 "," $12,053,624 "
University of Michigan-Ann Arbor," $2,074,423 "," $21,114,322 "," $9,874,360 "," $11,239,962 "
University of Arkansas," $2,052,699 "," $21,424,702 "," $10,440,326 "," $10,984,376 "
University of Illinois at Urbana-Champaign," $1,562,280 "," $21,419,589 "," $10,480,939 "," $10,938,650 "
University of Minnesota-Twin Cities," $2,056,051 "," $18,835,871 "," $9,115,817 "," $9,720,054 "
Michigan State University," $4,832,870 "," $23,808,250 "," $14,395,851 "," $9,412,399 "
University of Dayton," $1,707,194 "," $16,281,364 "," $7,434,825 "," $8,846,539 "
Purdue University-Main Campus," $2,612,400 "," $18,017,191 "," $9,604,624 "," $8,412,567 "
Iowa State University," $1,796,232 "," $14,670,525 "," $7,693,014 "," $6,977,511 "
Marquette University," $6,255,125 "," $21,856,683 "," $14,979,149 "," $6,877,534 "
Xavier University," $2,649,167 "," $13,916,975 "," $7,406,374 "," $6,510,601 "
The University of Tennessee-Knoxville," $2,015,302 "," $17,003,826 "," $10,554,613 "," $6,449,213 "
University of Kansas," $2,912,703 "," $18,974,009 "," $12,547,439 "," $6,426,570 "
North Carolina State University at Raleigh," $1,581,391 "," $16,533,014 "," $10,295,048 "," $6,237,966 "
Oklahoma State University-Main Campus," $1,568,727 "," $12,659,706 "," $6,700,510 "," $5,959,196 "
University of Nebraska-Lincoln," $1,964,941 "," $15,042,854 "," $9,180,631 "," $5,862,223 "
Gonzaga University," $1,625,865 "," $16,147,924 "," $10,496,251 "," $5,651,673 "
Auburn University," $2,228,307 "," $15,593,947 "," $10,536,653 "," $5,057,294 "
University of Maryland-College Park," $1,846,192 "," $14,059,425 "," $9,163,793 "," $4,895,632 "
The University of Texas at Austin," $1,758,071 "," $16,493,236 "," $11,649,912 "," $4,843,324 "
University of Missouri-Columbia," $1,759,741 "," $12,586,990 "," $8,255,259 "," $4,331,731 "
University of Iowa," $1,893,245 "," $12,120,342 "," $8,097,014 "," $4,023,328 "
Pennsylvania State University-Main Campus," $1,742,760 "," $11,344,446 "," $7,343,831 "," $4,000,615 "
University of Georgia," $1,479,200 "," $10,693,803 "," $7,756,002 "," $2,937,801 "
Virginia Commonwealth University," $1,116,865 "," $8,833,917 "," $6,102,633 "," $2,731,284 "
Kansas State University," $1,923,768 "," $10,733,840 "," $8,028,533 "," $2,705,307 "
University of Florida," $1,975,457 "," $11,943,413 "," $9,317,385 "," $2,626,028 "
University of South Carolina-Columbia," $1,146,997 "," $11,093,661 "," $8,561,964 "," $2,531,697 "
Butler University," $1,077,590 "," $8,228,482 "," $5,760,815 "," $2,467,667 "
University of Oklahoma-Norman Campus," $2,643,937 "," $12,355,263 "," $10,072,404 "," $2,282,859 "
Arizona State University-Tempe," $1,302,149 "," $10,609,465 "," $8,349,598 "," $2,259,867 "
University of Pittsburgh-Pittsburgh Campus," $2,410,918 "," $13,220,336 "," $11,013,283 "," $2,207,053 "
University of Washington-Seattle Campus," $1,900,766 "," $11,409,380 "," $9,224,123 "," $2,185,257 "
University of Colorado Boulder," $1,248,781 "," $9,310,818 "," $7,252,987 "," $2,057,831 "
Northwestern University," $1,350,230 "," $12,669,660 "," $10,646,711 "," $2,022,949 "
University of Mississippi," $2,219,138 "," $11,224,450 "," $9,432,295 "," $1,792,155 "
University of California-Berkeley," $1,377,224 "," $7,840,731 "," $6,131,940 "," $1,708,791 "
University of Missouri-Kansas City," $472,426 "," $3,902,606 "," $2,246,404 "," $1,656,202 "
University of Utah," $1,252,177 "," $10,511,632 "," $8,965,613 "," $1,546,019 "
Murray State University," $348,320 "," $3,896,362 "," $2,398,909 "," $1,497,453 "
Boise State University," $750,899 "," $5,146,160 "," $3,678,140 "," $1,468,020 "
Virginia Polytechnic Institute and State University," $2,226,606 "," $9,886,728 "," $8,525,606 "," $1,361,122 "
University of Miami," $2,595,829 "," $9,988,284 "," $8,895,333 "," $1,092,951 "
Clemson University," $1,128,513 "," $9,224,524 "," $8,229,736 "," $994,788 "
Vanderbilt University," $1,339,664 "," $10,876,435 "," $9,901,818 "," $974,617 "
The University of Texas at El Paso," $775,724 "," $5,016,121 "," $4,247,850 "," $768,271 "
Washington State University," $751,369 "," $6,171,373 "," $5,483,898 "," $687,475 "
Mississippi State University," $1,722,335 "," $8,030,614 "," $7,443,131 "," $587,483 "
University of Oregon," $1,999,558 "," $10,918,131 "," $10,348,633 "," $569,498 "
Texas A & M University-College Station," $2,019,264 "," $12,349,705 "," $11,818,860 "," $530,845 "
San Diego State University," $2,733,090 "," $6,248,159 "," $5,786,034 "," $462,125 "
Louisiana State University and Agricultural & Mechanical College," $1,640,142 "," $9,965,537 "," $9,512,515 "," $453,022 "
University of Maryland Eastern Shore," $237,926 "," $1,438,650 "," $1,000,683 "," $437,967 "
Austin Peay State University," $476,794 "," $2,338,400 "," $1,904,820 "," $433,580 "
California State University-Bakersfield," $578,593 "," $2,714,877 "," $2,333,990 "," $380,887 "
Hampton University," $339,304 "," $1,828,090 "," $1,460,137 "," $367,953 "
Boston College," $1,754,150 "," $7,225,974 "," $6,872,835 "," $353,139 "
Wake Forest University," $1,302,561 "," $9,148,670 "," $8,805,630 "," $343,040 "
Winthrop University," $230,080 "," $2,101,706 "," $1,780,882 "," $320,824 "
SUNY at Albany," $289,366 "," $2,109,818 "," $1,799,859 "," $309,959 "
Furman," $457,880 "," $2,576,740 "," $2,293,070 "," $283,670 "
University of South Alabama," $434,073 "," $2,313,701 "," $2,052,778 "," $260,923 "
University of Vermont," $471,834 "," $2,520,742 "," $2,261,158 "," $259,584 "
Oakland University," $376,624 "," $2,184,404 "," $1,940,265 "," $244,139 "
University of Maryland-Baltimore County," $571,936 "," $2,461,304 "," $2,222,771 "," $238,533 "
Oral Roberts University," $637,892 "," $2,300,880 "," $2,085,974 "," $214,906 "
Longwood University," $315,693 "," $1,837,437 "," $1,640,350 "," $197,087 "
Davidson College," $675,253 "," $3,476,469 "," $3,297,453 "," $179,016 "
Chicago State University," $71,553 "," $978,120 "," $801,305 "," $176,815 "
Mississippi Valley State University," $237,366 "," $733,665 "," $576,526 "," $157,139 "
The University of Tennessee-Martin," $255,807 "," $1,270,841 "," $1,119,003 "," $151,838 "
Utah Valley University," $632,704 "," $2,006,839 "," $1,866,466 "," $140,373 "
Citadel Military College of South Carolina," $306,303 "," $1,613,769 "," $1,477,703 "," $136,066 "
Oregon State University," $1,189,012 "," $6,326,806 "," $6,203,088 "," $123,718 "
University of Massachusetts-Lowell," $330,111 "," $2,001,656 "," $1,882,325 "," $119,331 "
University of Alabama at Birmingham," $685,084 "," $3,628,668 "," $3,533,944 "," $94,724 "
High Point University," $480,994 "," $3,457,345 "," $3,369,936 "," $87,409 "
Tennessee State University," $206,677 "," $1,414,097 "," $1,330,636 "," $83,461 "
The University of Alabama," $1,457,096 "," $16,028,795 "," $15,966,875 "," $61,920 "
University of California-Riverside," $465,974 "," $2,542,300 "," $2,485,812 "," $56,488 "
University of Rhode Island," $1,615,011 "," $4,799,098 "," $4,745,208 "," $53,890 "
Florida International University," $536,148 "," $2,004,600 "," $1,951,680 "," $52,920 "
California Baptist University," $417,881 "," $2,555,371 "," $2,503,353 "," $52,018 "
Savannah State University," $98,222 "," $629,174 "," $581,988 "," $47,186 "
Valparaiso University," $473,728 "," $2,461,689 "," $2,415,050 "," $46,639 "
University of the Incarnate Word," $196,159 "," $1,416,859 "," $1,371,582 "," $45,277 "
Texas Tech University," $3,727,213 "," $12,382,899 "," $12,338,645 "," $44,254 "
Wagner College," $205,660 "," $1,520,014 "," $1,487,551 "," $32,463 "
Nicholls State University," $208,663 "," $821,452 "," $798,687 "," $22,765 "
Lamar University," $232,987 "," $1,405,823 "," $1,384,151 "," $21,672 "
Texas Southern University," $127,730 "," $1,713,806 "," $1,696,591 "," $17,215 "
Louisiana Tech University," $541,345 "," $2,566,614 "," $2,556,193 "," $10,421 "
Southern Illinois University-Edwardsville," $306,306 "," $1,348,897 "," $1,342,465 "," $6,432 "
East Carolina University," $917,519 "," $3,945,332 "," $3,942,406 "," $2,926 "
Kennesaw State University," $376,061 "," $1,511,263 "," $1,510,719 ", $544 
Samford University," $349,587 "," $1,917,385 "," $1,917,384 ", $1 
Campbell University," $556,005 "," $2,085,183 "," $2,085,182 ", $1 
New Jersey Institute of Technology," $333,829 "," $1,857,284 "," $1,857,283 ", $1 
Eastern Washington University," $438,840 "," $1,630,809 "," $1,630,808 ", $1 
Florida State University," $2,633,659 "," $16,773,013 "," $16,773,013 ", $-   
University of Virginia-Main Campus," $2,463,240 "," $13,400,721 "," $13,400,721 ", $-   
Villanova University," $4,196,644 "," $14,428,932 "," $14,428,932 ", $-   
Georgetown University," $3,411,520 "," $13,573,946 "," $13,573,946 ", $-   
Providence College," $2,320,592 "," $11,117,186 "," $11,117,186 ", $-   
Baylor University," $2,091,702 "," $9,860,432 "," $9,860,432 ", $-   
St John's University-New York," $2,290,446 "," $10,028,677 "," $10,028,677 ", $-   
University of Houston," $1,679,313 "," $9,219,796 "," $9,219,796 ", $-   
Creighton University," $1,334,371 "," $8,590,055 "," $8,590,055 ", $-   
University of Memphis," $1,468,391 "," $8,217,757 "," $8,217,757 ", $-   
Wichita State University," $1,838,637 "," $8,182,863 "," $8,182,863 ", $-   
Saint Louis University," $1,142,220 "," $7,428,566 "," $7,428,566 ", $-   
University of Connecticut," $3,045,093 "," $9,325,922 "," $9,325,922 ", $-   
Seton Hall University," $1,332,286 "," $7,506,127 "," $7,506,127 ", $-   
Southern Methodist University," $1,511,850 "," $7,590,481 "," $7,590,481 ", $-   
Rutgers University-New Brunswick," $1,773,891 "," $7,545,360 "," $7,545,360 ", $-   
Brigham Young University-Provo," $1,795,176 "," $7,447,430 "," $7,447,430 ", $-   
DePaul University," $1,166,869 "," $6,793,520 "," $6,793,520 ", $-   
University of Cincinnati-Main Campus," $2,029,576 "," $7,644,770 "," $7,644,770 ", $-   
Saint Joseph's University," $731,463 "," $6,152,876 "," $6,152,876 ", $-   
University of Tulsa," $959,473 "," $6,196,308 "," $6,196,308 ", $-   
Temple University," $1,395,109 "," $6,487,460 "," $6,487,460 ", $-   
Belmont University," $313,307 "," $5,129,856 "," $5,129,856 ", $-   
University of Nevada-Las Vegas," $1,059,706 "," $5,795,483 "," $5,795,483 ", $-   
Grand Canyon University," $1,058,088 "," $5,331,006 "," $5,331,006 ", $-   
Duquesne University," $1,359,887 "," $5,612,982 "," $5,612,982 ", $-   
Santa Clara University," $364,113 "," $4,445,480 "," $4,445,480 ", $-   
Fordham University," $1,177,465 "," $5,075,355 "," $5,075,355 ", $-   
University of Richmond," $940,967 "," $4,782,542 "," $4,782,542 ", $-   
Loyola University Chicago," $655,452 "," $4,348,837 "," $4,348,837 ", $-   
Utah State University," $569,259 "," $4,250,996 "," $4,250,996 ", $-   
University of Nevada-Reno," $1,043,052 "," $4,706,010 "," $4,706,010 ", $-   
Tulane University of Louisiana," $1,399,228 "," $4,984,520 "," $4,984,520 ", $-   
Colorado State University-Fort Collins," $836,359 "," $4,415,218 "," $4,415,218 ", $-   
University of South Florida-Main Campus," $1,389,781 "," $4,931,868 "," $4,931,868 ", $-   
Saint Mary's College of California," $875,853 "," $4,401,818 "," $4,401,818 ", $-   
College of William and Mary," $473,110 "," $3,970,949 "," $3,970,949 ", $-   
Pepperdine University," $508,079 "," $3,975,688 "," $3,975,688 ", $-   
George Mason University," $924,371 "," $4,287,689 "," $4,287,689 ", $-   
University of New Mexico-Main Campus," $844,544 "," $4,206,654 "," $4,206,654 ", $-   
University of San Francisco," $845,213 "," $4,071,649 "," $4,071,649 ", $-   
University of Massachusetts-Amherst," $824,262 "," $4,025,395 "," $4,025,395 ", $-   
Bradley University," $587,983 "," $3,778,660 "," $3,778,660 ", $-   
George Washington University," $441,964 "," $3,548,937 "," $3,548,937 ", $-   
Loyola Marymount University," $1,031,999 "," $4,137,858 "," $4,137,858 ", $-   
California State University-Fresno," $615,944 "," $3,642,878 "," $3,642,878 ", $-   
St Bonaventure University," $828,026 "," $3,832,105 "," $3,832,105 ", $-   
University of Portland," $597,065 "," $3,599,607 "," $3,599,607 ", $-   
University of Northern Iowa," $582,756 "," $3,550,793 "," $3,550,793 ", $-   
Quinnipiac University," $261,722 "," $3,203,013 "," $3,203,013 ", $-   
Ohio University-Main Campus," $438,308 "," $3,337,404 "," $3,337,404 ", $-   
University of California-Santa Barbara," $419,302 "," $3,202,493 "," $3,202,493 ", $-   
Elon University," $466,254 "," $3,221,829 "," $3,221,829 ", $-   
Northeastern University," $466,414 "," $3,207,255 "," $3,207,255 ", $-   
