"Scholl","W.L.","Operating.Expenses.per.Team.Men.s.Team","Revenues.Men.s.Team","Expenses.Men.s.Team","Coference","clustergroup"
"1","Virginia ",0.921,2463240,13400721,13400721,"Atlantic Coast Conference",3
"2","Gonzaga ",0.892,1625865,16147924,10496251,"West Coast Conference",3
"3","Houston ",0.892,1679313,9219796,9219796,"American Athletic Conference",3
"4","Buffalo",0.889,757485,3093556,3093556,"Mid-American Conference",4
"5","New Mexico State",0.857,622278,3077862,3077862,"Western Athletic Conference",4
"6","Wofford ",0.857,527709,1965358,1965358,"Southern Conference",4
"7","Nevada ",0.853,1043052,4706010,4706010,"Mountain West Conference",4
"8","Murray State ",0.848,348320,3896362,2398909,"Ohio Valley Conference",4
"9","Duke ",0.842,4159957,35489891,22178473,"Atlantic Coast Conference",1
"10","Tennessee ",0.838,2015302,17003826,10554613,"Southern Conference",3
"11","UC-Irvine ",0.838,616625,2953537,2953537,"Big West Conference",4
"12","Michigan State ",0.821,4832870,23808250,14395851,"Big Ten Conference",1
"13","Belmont ",0.818,313307,5129856,5129856,"Ohio Valley Conference",4
"14","Texas Tech ",0.816,3727213,12382899,12338645,"Big 12 Conference",1
"15","Kentucky ",0.811,3318399,38829651,20202558,"Southeastern Conference",1
"16","Michigan ",0.811,2074423,21114322,9874360,"Big Ten Conference",3
"17","Liberty ",0.806,662073,3400852,3400852,"ASUN Conference",4
"18","North Carolina ",0.806,3616994,27076307,11204115,"Atlantic Coast Conference",1
"19","North Carolina-Greensboro",0.806,651057,2275162,2275162,"Southern Conference",4
"20","Cincinnati ",0.8,2029576,7644770,7644770,"American Athletic Conference",3
"21","Louisiana State ",0.8,1640142,9965537,9512515,"Southeastern Conference",3
"22","Utah State ",0.8,569259,4250996,4250996,"Mountain West Conference",4
"23","Abilene Christian ",0.794,484638,1178426,1178426,"Southland Conference",4
"24","Vermont ",0.794,471834,2520742,2261158,"America East Conference",4
"25","Florida State ",0.784,2633659,16773013,16773013,"Atlantic Coast Conference",1
"26","Lipscomb",0.784,516648,2228677,2228677,"ASUN Conference",4
"27","Hofstra",0.771,456954,2939154,2939154,"Colonial Athletic Association",4
"28","Furman",0.758,457880,2576740,2293070,"Southern Conference",4
"29","Toledo",0.758,334019,2673988,2673988,"Mid-American Conference",4
"30","Virginia Commonwealth ",0.758,1116865,8833917,6102633,"Atlantic 10 Conference",4
"31","Auburn ",0.75,2228307,15593947,10536653,"Southeastern Conference",3
"32","Washington ",0.75,1900766,11409380,9224123,"Pac-12 Conference",3
"33","Montana ",0.743,172517,1974451,2452114,"Big Sky Conference",4
"34","Northern Kentucky ",0.743,588131,2470374,2470374,"Horizon League",4
"35","Old Dominion ",0.743,1407307,3953002,3953002,"Conference USA",4
"36","Virginia Tech ",0.743,2226606,9886728,8525606,"Atlantic Coast Conference",3
"37","Kansas State ",0.735,1923768,10733840,8028533,"Big 12 Conference",3
"38","Yale ",0.733,378901,1416853,1416853,"The Ivy League",4
"39","Central Florida ",0.727,1057414,3879707,4594025,"American Athletic Conference",4
"40","College of Charleston",0.727,713611,3289426,3289426,"Colonial Athletic Association",4
"41","Jacksonville State",0.727,302772,1497090,1497090,"Ohio Valley Conference",4
"42","South Dakota State",0.727,509309,2177776,2177776,"The Summit League",4
"43","Stony Brook",0.727,587847,2064588,2392346,"America East Conference",4
"44","Kansas ",0.722,2912703,18974009,12547439,"Big 12 Conference",1
"45","Purdue ",0.722,2612400,18017191,9604624,"Big Ten Conference",3
"46","Villanova ",0.722,4196644,14428932,14428932,"Big East Conference",1
"47","Fresno State",0.719,615944,3642878,3642878,"Mountain West Conference",4
"48","Utah Valley",0.714,632704,2006839,1866466,"Western Athletic Conference",4
"49","Davidson",0.706,675253,3476469,3297453,"Atlantic 10 Conference",4
"50","Drake",0.706,920372,2557916,2649047,"Missouri Valley Conference",4
"51","East Tennessee State",0.706,404907,1878553,1878553,"Southern Conference",4
"52","Georgia State ",0.706,519797,2917278,2917278,"Sun Belt Conference",4
"53","Marquette ",0.706,6255125,21856683,14979149,"Big East Conference",1
"54","Texas State",0.706,497884,1976474,1976474,"Sun Belt Conference",4
"55","Temple ",0.697,1395109,6487460,6487460,"American Athletic Conference",3
"56","UC-Santa Barbara",0.688,419302,3202493,3202493,"Big West Conference",4
"57","Colgate ",0.686,334592,2126456,2126456,"Patriot League",4
"58","San Francisco",0.677,845213,4071649,4071649,"West Coast Conference",4
"59","Arizona State ",0.676,1302149,10609465,8349598,"Pac-12 Conference",3
"60","Maryland ",0.676,1846192,14059425,9163793,"Big Ten Conference",3
"61","Mississippi State ",0.676,1722335,8030614,7443131,"Southeastern Conference",3
"62","Northeastern ",0.676,466414,3207255,3207255,"Colonial Athletic Association",4
"63","Wisconsin ",0.676,1761883,21701868,8548485,"Big Ten Conference",3
"64","Austin Peay",0.667,476794,2338400,1904820,"Ohio Valley Conference",4
"65","Kent State",0.667,615674,2158311,2158311,"Mid-American Conference",4
"66","North Carolina State",0.667,1581391,16533014,10295048,"Atlantic Coast Conference",3
"67","Radford",0.667,326458,1682177,1682177,"Big South Conference",4
"68","Oregon ",0.658,1999558,10918131,10348633,"Pac-12 Conference",3
"69","Central Michigan",0.657,533295,2168814,2168814,"Mid-American Conference",4
"70","Gardner-Webb ",0.657,274645,1195668,1195668,"Big South Conference",4
"71","Iowa State ",0.657,1796232,14670525,7693014,"Big 12 Conference",3
